f,i,j,w
4,259,78,0.028504595
4,261,80,0.20746486
4,264,81,0.37474293
4,267,82,0.52725327
4,270,82,NaN
5,267,34,0.3248307
5,264,35,0.4221917
5,261,36,0.10233109
5,259,38,0.42437336
5,257,39,0.13731928
5,256,41,0.843989
5,254,42,0.1251159
5,253,44,0.5052508
5,252,45,0.14891057
5,251,47,0.5440062
5,250,48,0.008547089
5,249,50,0.3472795
5,248,52,0.55595946
5,247,53,0.11747173
5,246,55,0.124289386
5,246,56,0.090793476
5,245,58,0.26684475
5,244,60,0.107347794
5,244,61,0.24371816
5,243,63,0.16297609
5,243,64,0.13367923
5,242,66,0.10636925
5,242,67,0.0063019306
5,241,69,0.011952566
5,241,71,0.33937582
5,241,72,0.17489034
5,240,74,0.07016902
5,240,75,0.009898393
5,240,77,0.300924
5,240,79,0.805592
5,239,80,0.04878934
5,239,82,0.2788181
5,239,84,0.6681439
5,239,85,0.31770426
5,238,87,0.04034905
5,238,88,0.026186306
5,238,90,0.17641936
1,2,32,0.46448588
1,3,32,0.1084368
1,5,32,0.20993884
1,6,32,0.0019606687
1,8,32,0.07711989
1,10,32,0.122288935
1,11,32,0.017593423
1,13,32,0.064831845
1,15,32,0.12052715
1,16,32,0.03979233
1,18,32,0.12514795
1,20,32,0.25753707
1,21,32,0.12177544
1,23,32,0.312703
1,24,32,0.06279658
1,26,32,0.32260278
1,28,32,0.6911784
1,29,32,0.24199574
1,31,31,0.07738364
1,32,31,0.0073243217
1,34,31,0.21615732
1,36,31,0.60529274
1,37,30,0.0016811484
1,39,30,0.1635716
1,41,30,0.56164634
1,42,30,0.33155414
1,44,29,0.17491755
1,45,29,0.10408671
1,47,29,0.563968
1,49,28,0.38150796
1,50,28,0.32817212
1,52,27,0.23664787
1,53,27,0.17757268
1,55,26,0.20567851
1,56,26,0.05080595
1,58,25,0.23361936
1,60,24,0.11810869
1,61,24,0.25823978
1,63,23,0.40804145
1,64,22,0.053216714
1,66,21,0.10666026
1,68,20,0.09749668
1,69,19,0.034134556
1,71,18,0.13053668
1,72,17,0.08058687
1,74,16,0.41689745
1,75,14,0.006462366
1,77,13,0.38281894
1,78,11,0.034434896
1,80,9,0.46221402
1,81,6,0.09548877
1,82,3,0.09153052
0,0,0,NaN
2,34,3,0.056389377
2,35,6,0.107578844
2,36,9,0.22798601
2,38,11,0.5126705
2,39,13,0.31061703
2,41,14,0.06307254
2,42,16,0.21242568
2,44,17,0.25357774
2,45,18,0.02807103
2,47,19,0.04992518
2,48,20,0.00093316945
2,50,21,0.079370834
2,52,22,0.2881009
2,53,23,0.14588532
2,55,24,0.560162
2,56,24,0.013796318
2,58,25,0.25574043
2,60,26,0.8353007
2,61,26,0.11511597
2,63,27,0.6121533
2,64,27,0.055058815
2,66,28,0.49491268
2,67,28,0.00395332
2,69,29,0.40755606
2,71,29,0.48341665
2,72,29,0.05106388
2,74,30,0.5564637
2,75,30,0.0133969225
2,77,30,0.11787438
2,79,30,0.007301139
2,80,31,0.1535572
2,82,31,0.31148168
2,84,31,0.30861956
2,85,31,0.043817963
2,87,32,0.7037839
2,88,32,0.09811264
2,90,32,0.32674772
4,238,2,0.41655183
4,238,3,0.14907767
4,238,5,0.42301527
4,238,6,0.005595856
4,238,8,0.30417824
4,238,10,0.6322434
4,238,11,0.109791346
4,238,13,0.43518057
4,238,15,0.75214887
4,238,16,0.2057313
4,238,18,0.49361664
4,238,20,0.7350426
4,238,21,0.24537645
4,238,23,0.42991287
4,238,24,0.05631846
4,238,26,0.1741909
4,238,28,0.18448773
4,238,29,0.013873772
4,239,31,0.5610863
4,239,32,0.01585784
4,233,36,0.10322987
4,233,38,0.04626899
4,234,40,0.70200944
4,234,41,0.024660306
4,234,43,0.097166024
4,234,45,0.0485999
4,235,47,0.56904763
4,235,49,0.4591536
4,235,50,0.023243692
4,236,52,0.28827882
4,236,54,0.24868079
4,236,56,0.032613732
4,237,58,0.60260206
4,237,59,0.029188478
4,238,61,0.25014433
4,238,63,0.10483312
4,239,65,0.46653858
4,239,67,0.08689543
4,240,69,0.49952155
4,241,70,0.087016106
4,241,72,0.03921836
4,242,74,0.12044839
4,243,76,0.18886682
4,244,78,0.20081124
4,244,80,0.015063165
4,245,83,0.24788344
4,246,85,0.22037396
4,247,87,0.08026317
4,248,90,0.24541049
5,249,3,0.33104867
5,250,6,0.34661853
5,251,9,0.17153175
5,251,13,0.29851937
5,251,17,0.68709326
5,250,20,0.18454961
5,249,23,0.095251255
5,248,26,0.15917213
5,247,29,0.30881995
5,246,31,0.12998864
5,245,33,0.022171635
5,244,36,0.13257258
5,244,38,0.7797144
5,243,40,0.57646424
5,242,42,0.3880869
5,241,44,0.17345463
5,241,46,0.79094243
5,240,47,0.00559545
5,239,49,0.0148950815
5,239,51,0.19675952
5,238,53,0.09054444
5,238,55,0.44679496
5,237,57,0.14208886
5,237,58,0.015193539
5,236,60,0.00965486
5,236,62,0.19073276
5,236,64,0.52663636
5,235,66,0.14398772
5,235,67,0.03848358
5,235,69,0.24040805
5,234,71,0.052190438
5,234,73,0.27413747
5,234,75,0.5990205
5,234,76,0.15777738
5,233,78,0.03167127
5,233,80,0.17448862
5,233,82,0.39217523
5,233,83,0.045912515
5,233,85,0.23084834
5,233,87,0.475499
5,232,89,0.029899929
1,1,38,0.81959826
1,2,38,0.1374073
1,4,38,0.2742291
1,6,38,0.3857863
1,8,38,0.48164412
1,9,38,0.032681696
1,11,38,0.14490214
1,13,38,0.25483814
1,15,38,0.3719119
1,17,38,0.50555825
1,18,38,0.09121893
1,20,38,0.23563904
1,22,38,0.4102168
1,24,38,0.62462556
1,25,38,0.034431122
1,27,38,0.2505414
1,29,37,0.039090462
1,31,37,0.1538206
1,33,37,0.34408137
1,34,37,0.08048679
1,36,37,0.26845944
1,38,37,0.5473841
1,40,36,0.114468895
1,41,36,0.014876685
1,43,36,0.16450834
1,45,36,0.43359023
1,47,35,0.13393997
1,49,35,0.46346268
1,50,35,0.11574251
1,52,34,0.06546959
1,54,34,0.31723696
1,56,34,0.7389795
1,58,33,0.37275687
1,59,33,0.14122441
1,61,32,0.10876627
1,63,32,0.43172956
1,65,31,0.23680718
1,67,31,0.7667693
1,69,30,0.48935828
1,70,29,0.012094817
1,72,29,0.14518656
1,74,28,0.11640043
1,76,27,0.057908922
1,78,26,0.0039904215
1,80,26,0.08696609
1,83,25,0.6700008
1,85,24,0.40861046
1,87,23,0.12602374
1,90,22,0.36116385
2,3,21,0.44553322
2,6,20,0.30594993
2,9,19,0.028242767
2,13,19,0.20148359
2,17,19,0.11313078
2,20,20,0.16289373
2,23,21,0.1281867
2,26,22,0.23424748
2,29,23,0.4848813
2,31,24,0.24101928
2,33,25,0.0599266
2,36,26,0.76538944
2,38,26,0.015494946
2,40,27,0.17675045
2,42,28,0.37504226
2,44,29,0.64212686
2,46,29,0.10993705
2,47,30,0.005481613
2,49,31,0.13143502
2,51,31,0.099872306
2,53,32,0.3728856
2,55,32,0.19427395
2,57,33,0.6874819
2,58,33,0.009398589
2,60,34,0.2187604
2,62,34,0.24331747
2,64,34,0.11960308
2,66,35,0.7170043
2,67,35,0.038846053
2,69,35,0.056587324
2,71,36,0.46562138
2,73,36,0.4641472
2,75,36,0.3613852
2,76,36,0.025727808
2,78,37,0.3746804
2,80,37,0.45379105
2,82,37,0.4584242
2,83,37,0.027106203
2,85,37,0.06446675
2,87,37,0.041909788
2,89,38,0.70900124
4,232,1,0.14016217
4,232,2,0.04292521
4,232,4,0.1264664
4,232,6,0.23509069
4,232,8,0.35924438
4,232,9,0.02804778
4,232,11,0.1355107
4,232,13,0.24522285
4,232,15,0.34780923
4,232,17,0.43388164
4,232,18,0.068039194
4,232,20,0.1435974
4,232,22,0.18918507
4,232,24,0.19513644
4,232,25,0.005888525
4,232,27,0.01056514
4,233,29,0.4435048
4,233,31,0.5508385
4,233,33,0.5828434
4,233,34,0.06885901
4,228,37,0.022237694
4,228,39,0.093795896
4,228,41,0.123914644
4,228,43,0.108266294
4,228,45,0.042729113
4,229,47,0.5220843
4,229,49,0.45387024
4,229,51,0.32085857
4,229,53,0.12002936
4,230,54,0.02305932
4,230,56,0.07069153
4,230,58,0.05468475
4,231,60,0.28442645
4,231,62,0.22603439
4,231,64,0.10072384
4,232,66,0.44442898
4,232,68,0.25892535
4,232,70,0.020802222
4,233,72,0.39269167
4,233,74,0.107321575
4,234,76,0.45352718
4,234,78,0.14546715
4,235,80,0.40788317
4,235,82,0.124088325
4,236,84,0.23383626
4,236,86,0.035866152
4,237,89,0.77952725
5,237,1,0.27895993
5,237,3,0.024228735
5,238,6,0.67522365
5,238,8,0.23570023
5,238,11,0.36650565
5,238,13,0.16229108
5,238,15,0.006827284
5,238,18,0.29400888
5,238,20,0.097191386
5,237,23,0.06960639
5,237,25,0.19174324
5,237,27,0.11293745
5,236,30,0.3059725
5,236,32,0.5785827
5,235,34,0.16536711
5,235,36,0.36029497
5,234,38,0.09695126
